Booking_ID,Vehicle_No,Slot_ID,Zone,Entry_Time,Exit_Time,Fee
B042,OD17XY4263,P068,A,09:00,11:00,100
B043,OD73XY4024,P017,B,09:00,11:00,40
B044,OD23XY3217,P096,C,09:00,11:00,60
B045,OD12XY5163,P056,C,09:00,11:00,60
B046,OD32XY2575,P084,A,09:00,11:00,40
B047,OD93XY4825,P020,A,09:00,11:00,80
B048,OD23XY8044,P048,C,09:00,11:00,80
B049,OD84XY2632,P045,C,09:00,11:00,80
B050,OD58XY4042,P062,A,09:00,11:00,80
B051,OD89XY6151,P079,B,09:00,11:00,100
B052,OD20XY1721,P002,B,09:00,11:00,40
B053,OD24XY4681,P025,A,09:00,11:00,80
B054,OD18XY2202,P081,C,09:00,11:00,40
B055,OD30XY5373,P088,C,09:00,11:00,80
B056,OD55XY7362,P079,B,09:00,11:00,100
B057,OD36XY3031,P003,A,09:00,11:00,80
B058,OD56XY1478,P076,B,09:00,11:00,80
B059,OD45XY1561,P078,B,09:00,11:00,40
B060,OD90XY5698,P077,A,09:00,11:00,80
B061,OD95XY4258,P057,A,09:00,11:00,100
B062,OD15XY5229,P048,B,09:00,11:00,100
B063,OD23XY6133,P088,A,09:00,11:00,80
B064,OD89XY8125,P070,A,09:00,11:00,40
B065,OD41XY7962,P054,A,09:00,11:00,80
B066,OD57XY6045,P037,C,09:00,11:00,60
B067,OD30XY4051,P076,A,09:00,11:00,100
B068,OD96XY9417,P007,A,09:00,11:00,40
B069,OD66XY3100,P041,B,09:00,11:00,60
B070,OD41XY9297,P036,A,09:00,11:00,100
B071,OD45XY2467,P046,A,09:00,11:00,60
B072,OD58XY9580,P065,A,09:00,11:00,60
B073,OD77XY9086,P015,C,09:00,11:00,40
B074,OD98XY4748,P098,B,09:00,11:00,100
B075,OD75XY8491,P046,B,09:00,11:00,100
B076,OD98XY4650,P089,C,09:00,11:00,100
B077,OD38XY7425,P075,B,09:00,11:00,100
B078,OD98XY6626,P026,B,09:00,11:00,80
B079,OD78XY8243,P063,A,09:00,11:00,80
B080,OD31XY8266,P048,C,09:00,11:00,80
B081,OD56XY9898,P055,A,09:00,11:00,60
B082,OD48XY4970,P038,C,09:00,11:00,40
B083,OD58XY9557,P066,A,09:00,11:00,60
B084,OD32XY8035,P078,C,09:00,11:00,80
B085,OD58XY5700,P070,B,09:00,11:00,80
B086,OD74XY4008,P027,A,09:00,11:00,40
B087,OD81XY7158,P075,B,09:00,11:00,40
B088,OD70XY1220,P020,A,09:00,11:00,60
B089,OD90XY2588,P028,B,09:00,11:00,100
B090,OD45XY2237,P070,A,09:00,11:00,100
B091,OD70XY7124,P029,B,09:00,11:00,40
B092,OD92XY6081,P037,C,09:00,11:00,80
B093,OD84XY9055,P078,C,09:00,11:00,80
B094,OD35XY7124,P052,B,09:00,11:00,60
B095,OD24XY4547,P054,A,09:00,11:00,60
B096,OD76XY8237,P083,A,09:00,11:00,100
B097,OD75XY8555,P039,A,09:00,11:00,60
B098,OD98XY1906,P088,C,09:00,11:00,100
B099,OD76XY8470,P057,B,09:00,11:00,60
B100,OD44XY2486,P045,A,09:00,11:00,40
B101,OD34XY3389,P008,C,09:00,11:00,100
B102,OD96XY6509,P028,A,09:00,11:00,60
B103,OD37XY2188,P068,C,09:00,11:00,40
B104,OD18XY7085,P067,B,09:00,11:00,80
B105,OD57XY9195,P063,B,09:00,11:00,80
B106,OD78XY2048,P068,A,09:00,11:00,40
B107,OD99XY5638,P057,A,09:00,11:00,40
B108,OD17XY3160,P084,C,09:00,11:00,40
B109,OD56XY8185,P065,C,09:00,11:00,80
B110,OD43XY1087,P006,B,09:00,11:00,100
B111,OD62XY1579,P052,C,09:00,11:00,40
B112,OD63XY9298,P005,A,09:00,11:00,80
B113,OD36XY2583,P096,C,09:00,11:00,80
B114,OD90XY4145,P003,B,09:00,11:00,80
B115,OD68XY3798,P012,C,09:00,11:00,40
B116,OD45XY8669,P090,B,09:00,11:00,60
B117,OD61XY2524,P080,B,09:00,11:00,80
B118,OD44XY2277,P046,A,09:00,11:00,80
B119,OD91XY2907,P023,C,09:00,11:00,60
B120,OD91XY9060,P078,C,09:00,11:00,100
B121,OD83XY8593,P082,C,09:00,11:00,40
B122,OD24XY3853,P093,B,09:00,11:00,60
B123,OD89XY1837,P019,B,09:00,11:00,100
B124,OD34XY2372,P088,A,09:00,11:00,40
B125,OD87XY5401,P013,B,09:00,11:00,60
B126,OD88XY8524,P046,B,09:00,11:00,40
B127,OD56XY7311,P067,C,09:00,11:00,40
B128,OD44XY9312,P100,C,09:00,11:00,60
B129,OD84XY7053,P100,A,09:00,11:00,80
B130,OD74XY8539,P092,A,09:00,11:00,40
B131,OD33XY1074,P012,A,09:00,11:00,40
B132,OD71XY1023,P053,B,09:00,11:00,80
B133,OD94XY6309,P097,A,09:00,11:00,80
B134,OD67XY6292,P082,A,09:00,11:00,60
B135,OD20XY7128,P090,B,09:00,11:00,60
B136,OD27XY6050,P024,A,09:00,11:00,60
B137,OD72XY5079,P069,A,09:00,11:00,100
B138,OD11XY9224,P016,C,09:00,11:00,40
B139,OD59XY5450,P023,A,09:00,11:00,40
B140,OD48XY5707,P089,C,09:00,11:00,40
B141,OD67XY1747,P089,C,09:00,11:00,80
B142,OD77XY1746,P049,A,09:00,11:00,60
B143,OD22XY5191,P059,B,09:00,11:00,40
B144,OD31XY4081,P009,B,09:00,11:00,80
B145,OD88XY1826,P025,B,09:00,11:00,100
B146,OD85XY3660,P009,B,09:00,11:00,100
B147,OD22XY5711,P092,C,09:00,11:00,60
B148,OD54XY1717,P011,C,09:00,11:00,80
B149,OD53XY9572,P061,B,09:00,11:00,40
B150,OD66XY9944,P064,A,09:00,11:00,100
B151,OD42XY4240,P019,C,09:00,11:00,60
B152,OD49XY3052,P063,B,09:00,11:00,100
B153,OD48XY4632,P073,A,09:00,11:00,80
B154,OD30XY1389,P020,B,09:00,11:00,80
B155,OD61XY3592,P024,C,09:00,11:00,100
B156,OD19XY6492,P078,B,09:00,11:00,80
B157,OD30XY7747,P045,B,09:00,11:00,60
B158,OD47XY7196,P058,A,09:00,11:00,100
B159,OD47XY1488,P023,A,09:00,11:00,80
B160,OD44XY7412,P030,B,09:00,11:00,40
B161,OD27XY3674,P016,B,09:00,11:00,100
B162,OD41XY7822,P040,C,09:00,11:00,80
B163,OD43XY4602,P027,A,09:00,11:00,40
B164,OD66XY8192,P060,C,09:00,11:00,60
B165,OD76XY1164,P063,A,09:00,11:00,60
B166,OD90XY4228,P096,B,09:00,11:00,60
B167,OD42XY4929,P079,B,09:00,11:00,40
B168,OD63XY3450,P017,B,09:00,11:00,100
B169,OD51XY3494,P085,B,09:00,11:00,80
B170,OD75XY3188,P012,B,09:00,11:00,60
B171,OD66XY6522,P034,B,09:00,11:00,40
B172,OD35XY7012,P092,A,09:00,11:00,100
B173,OD57XY7820,P056,C,09:00,11:00,80
B174,OD14XY4265,P068,C,09:00,11:00,80
B175,OD19XY4927,P038,C,09:00,11:00,80
B176,OD61XY3014,P077,C,09:00,11:00,60
B177,OD57XY3846,P034,A,09:00,11:00,40
B178,OD58XY3007,P042,C,09:00,11:00,40
B179,OD17XY8467,P039,A,09:00,11:00,40
B180,OD50XY2318,P010,A,09:00,11:00,80
B181,OD86XY8442,P043,A,09:00,11:00,80
B182,OD93XY5862,P016,B,09:00,11:00,100
B183,OD26XY1290,P092,B,09:00,11:00,60
B184,OD78XY6119,P074,A,09:00,11:00,100
B185,OD80XY2576,P028,B,09:00,11:00,60
B186,OD85XY9083,P085,B,09:00,11:00,100
B187,OD22XY4188,P089,B,09:00,11:00,80
B188,OD74XY4460,P089,A,09:00,11:00,60
B189,OD78XY2981,P072,B,09:00,11:00,60
B190,OD61XY3792,P019,B,09:00,11:00,40
B191,OD26XY7873,P035,C,09:00,11:00,100
B192,OD12XY7116,P065,B,09:00,11:00,40
B193,OD42XY9946,P078,B,09:00,11:00,100
B194,OD21XY3871,P059,C,09:00,11:00,40
B195,OD56XY1750,P021,C,09:00,11:00,60
B196,OD48XY2463,P082,C,09:00,11:00,100
B197,OD61XY4170,P060,C,09:00,11:00,60
B198,OD24XY1884,P091,C,09:00,11:00,60
B199,OD85XY5610,P050,C,09:00,11:00,60
B200,OD51XY9849,P071,B,09:00,11:00,60
